真打 吉宗	2001	3,201	3,245	132.9%
真打 吉宗	2002	-490	399	59.1%
真打 吉宗	2003	1,120	3,771	109.9%
真打 吉宗	2004	-2,199	1,905	61.5%
真打 吉宗	2005	1,307	2,594	116.8%
真打 吉宗	2006	3,397	1,554	172.9%
真打 吉宗	2007	-2,191	2,224	67.2%
真打 吉宗	2008	2,116	3,183	122.2%
真打 吉宗	2009	1,108	1,896	119.5%
真打 吉宗	2010	-2,593	3,612	76.1%
L無職転生～異世界行ったら本気だす～	2011	-3,110	3,035	65.8%
L無職転生～異世界行ったら本気だす～	2012	-1,992	3,093	78.5%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2013	-1,096	4,011	90.9%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2014	1,505	6,411	107.8%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2015	2,304	4,563	116.8%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2016	-94	3,540	99.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2017	-496	2,555	93.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2018	5,218	946	283.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2019	1,205	2,285	117.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2020	-1,097	1,233	70.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2021	-893	4,886	93.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2022	1,107	2,866	112.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2023	0	3,733	100%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2024	-1,292	2,157	80%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2025	-891	1,685	82.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2026	-498	1,229	86.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2027	-1,307	3,719	88.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2028	-1,092	2,889	87.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2029	-990	1,103	70.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2030	-997	2,998	88.9%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2031	3,503	2,040	157.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2032	2,716	3,549	125.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2033	-396	2,009	93.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2034	2,515	4,617	118.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2035	-197	840	92.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2036	610	3,251	106.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2037	-591	1,666	88.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2038	0	1,679	100%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2039	208	1,201	105.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2040	1,699	5,337	110.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2041	5,608	2,518	174.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2042	109	430	108.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2043	605	2,516	108%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2044	-1,693	2,544	77.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2045	0	395	100%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2046	-1,494	2,584	80.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2047	401	1,126	111.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2048	-897	1,455	79.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2049	-1,304	2,667	83.7%
