真打 吉宗	2001	-3,296	5,037	78.2%
真打 吉宗	2002	-4,398	3,858	62%
真打 吉宗	2003	1,906	6,448	109.9%
真打 吉宗	2004	-390	4,075	96.8%
真打 吉宗	2005	-3,381	6,560	82.8%
真打 吉宗	2006	-3,192	4,586	76.8%
真打 吉宗	2007	-3,305	5,845	81.2%
真打 吉宗	2008	-3,797	3,000	57.8%
真打 吉宗	2009	-394	3,630	96.4%
真打 吉宗	2010	8,802	5,952	149.3%
L無職転生～異世界行ったら本気だす～	2011	-1,597	6,237	91.5%
L無職転生～異世界行ったら本気だす～	2012	-2,882	5,773	83.4%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2013	208	3,455	102%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2014	3,202	4,719	122.6%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2015	-2,106	3,669	80.9%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2016	-3,301	5,284	79.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2017	-3,108	2,956	65%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2018	2,602	4,327	120%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2019	-1,398	5,391	91.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2020	2,808	4,558	120.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2021	-3,188	3,883	72.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2022	-2,309	3,732	79.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2023	403	3,411	103.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2024	2,920	5,299	118.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2025	3,895	4,883	126.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2026	1,602	3,498	115.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2027	-198	4,063	98.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2028	2,616	4,665	118.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2029	1,205	4,687	108.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2030	-2,104	4,424	84.1%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2031	-1,791	3,542	83.1%
